AAR	Scare Marla badly (5)
ASHE	Arthur's in haberdashery (4)
ASHEN	Britannia - she never has blanched (5)
ASHEN	Pale, like a chicken (5)
ASHES	Was Heston holding cigarettes, finally? (5)
ASHY	Splash yellow covering pale gray (4)
ASIA	Adult, one in South American continent (4)
ASIA	Like Iowa, Alaska and Georgia are close to this (4)
ASIA	Orient principals of all schools in America (4)
ASIA	Where Colombo is, is back amongst ex-drinkers (4)
ASIDE	Talking to the audience as I'd enunciated part (5)
ASIDES	Digressions like Caesar's bad day (6)
ASIDES	Like before, I'd begin to edit Stallone's first digressions (6)
ASIF	Like members of Qaddafi's army in retreat (2,2)
ASININE	Sorry, Nine-A is stupid (7)
ASIS	No guaranties for a certain sibling (2,2)
ASITSOHAPPENS	"Like its midwest state..." Associated Press writes, coincidentally (2 2 2 7)
ASITSOHAPPENS	Coincidentally, agitated soap "thespians" (2 2 2 7)
ASITWERE	Sweatier dancing, so to speak (2,2,4)
ASKING	Interrogating while on the throne(6)
ASKS	Probes origins of alleged Senate kickback scandal (4)
ASKS	Questions all but the first of assignments (4)
ASKS	Requests kegs with the top off (4)
ASLEEP	Out, please, out (6)
ASPECT	Phase in distortion of space and time (6)
ASPERSIONS	Us folks from Iran uttered derogatory remarks (10)
ASPIRANT	Partisan straightened out, seeking advancement (8)
ASPIRATED	First class marks ripped off and sucked out(9)
ASPIRATED	Took a breath, as robber finally departed (9)
ASPIRE	Aim for something high, a steeple's top (6)
ASPIRE	Ascend a steeple (6)
ASPIRINS	Pain killers striving after final change (8)
ASPLAY	Spread out and,like, frolic (6)
ASPS	Head off bugs and snakes (4)
ASSAI	Very often seen in music: a deep breath is voiced (5)
ASSAILING	Attacking from behind going downhill (9)
ASSAILING	Violently storming while on the high seas (9)
ASSASSIN	A pair of fools in "Killer for Hire" (8)
ASSASSIN	Two fools in offer (8)
ASSASSINATION	Liquidation of one country led by pair of fools (13)
ASSASSINATIONS	One country's going after two bums for treacherous murders (14)
ASSAULTING	Striking model lusts again (10)
ASSAYER	Wasted years follow as he experiments (7)
ASSEMBLER	Collector is slow mover garnering southern selenium (9)
ASSEMBLY	Mess up, piercing well chamber (8)
ASSEMBLY	Stranger may bless what brings people together (8)
ASSENT	"Climb up the mountain," it is said, "for acceptance" (6)
ASSENTED	Agreed, like Senator Kennedy (6)
ASSENTED	Conceded, like Senator Kennedy (8)
ASSENTER	One middle-of-the-road position articulated by sycophant (8)
ASSERT	Hold a hair back (6)
ASSERT	Maintain and refurbish Tasers (6)
ASSES	Fools the Proletariat after banning Marx's _Capital_ (5)
ASSESSABLE	Donkeys' fine fur is subject to tax (10)
ASSESSE	Rates female donkeys? (8)
ASSESSES	Taxes fool with several crooked letters (8)
ASSESSMENT	Tax donkeys and people found in street (10)
ASSESSOR	Judge Jenny arranged roses (8)
ASSET	Holding a Socialist position (5)
ASSET	Property initially in annuity settlement survived estate tax (5)
ASSIGNED	Shifting sand, e.g., is put down (8)
ASSISI	Site racked by earthquakes as Egyptian deity returned (6)
ASSIST	Class is taught with help (6)
ASSIST	Help someone who likes bums? (6)
ASSISTANCE	Help fool with source of inferior posture (10)
ASSISTANTS	As young lass is sittin' on whale, 'tis heartless to them as helps? (10)
ASSISTANTS	Donkey is ultimately important to underground workers and helpers (10)
ASSISTS	Helps jazz musicians after the first (7)
ASSRTED	Declared a dessert awful (8)
ASSTATED	Data sets misconstrued, so we hear (2,6)(?)
ASSUMED	Medusa's sadly taken for granted (7)
ASSUMED	Took over Medusa's snarls (7)
ASSURANCE	A doped-up user cans pledge (9)
ASSURER	He removes doubt as ruer's shaken (7)
ASTAB	See 30-Down
ASTERISKS	Articles by the uncentred Hazards - they usually indicate omissions (9)
ASTERN	Like a bird toward the rear (6)
ASTEROI	Rock from outer space; it soared, crashed (8)
ASTEROID	Like a star using a forbidden drug (8)
ASTI	Sparkling wine from Castille (4)
ASTIR	A prison is in commotion (5)
ASTONISH	Surprise like an expensive car (8)
ASTOUND	Piece of tile in a solid floor (7)
ASTOUND	Regarding topless Rev. Down with surprise (7)
ASTOUND	Surprise running through bras to underpants (7)
ASTRIDE	After starting, speedy trip across (7)
ASTRO	Cuba's dictator beheaded ballplayer from Houston (5)
ASWARM	Equally hot, filled to overflowing (6)
ASWRIGMCHNE	One Saturday, we call; Mother talks about excellent household appliances (9,8)
ASYMMETRIC	Not even my ace, Mr. T, is upset (10)
ASYSTOLE	Ecstasy's tolerance, concealing problem of the heart (8)
ATARI	Missile Command designer to assail onboard computer's ability to reason
ATARI	When each grid is placed in its correct quadrant,
ATEASE	Content of a needle (2,4)
ATELIERS	Studios rate "Lies" poorly (8)
ATHENA	Goddess finds sanctuary in heathen arts (6)
ATHENA	Goddess subsequently transported by American Airlines (6)
ATHENIAN	Ian follows near old woman from a Greek city (8)
ATHLETES	The least ridiculous kind of foot? (8)
ATHLETIC	Sporting lice that massaged (8)
ATHWART	Against that terrible, consuming war (7)
ATIT	Telco gets one working (2,2)
ATLAS	Titan is finally cut short (5)
ATLAS	Too bad about first of tests for strong man (5)
ATOLL	Island that's a ring (5)
ATOMBOMBS	They cause devastation. "A grave...uncovered crypts..." (4,5)
ATOMIZE	Spray a male cat, to some extent (7)
ATONCE	Immediately make amends for grabbing one of cookies (2,4)
ATONEMENT	Nasty note meant showing you're sorry (9)
ATONEMENTS	A sound New York team gains new compensations (10)
ATONER	Downbeat one reluctantly embracing one making amends (6)
ATRIUM	University occupies a neat hall (6)
ATSEA	Confused poet initially enters self-help group (2,3)
ATTACH	Set back in marsh, cattail's appropriate (6)
ATTACHE	Time for free love ... or is it sex, maybe (7)
ATTEMPT	Try to seduce (7)
ATTEMPTED	Tried and true office worker stuck in bad date (9)
ATTEST	Ignoring the principal, most ample witness (6)
ATTEST	Taste crackers and a spot of tea, OK? (6)
ATTIC	One story is it's somewhat ticklish at heart (5)
ATTORNEYS	Group of lawyers is attending sports events, so we hear (9)
ATTRACT	Arouse interest in Scripture verses after a time (7)
ATTY	Deranged Italian seizes U.S. lawyer briefly (4)
ATYPICAL	Unusual play; Act I is improvised (8)
AUDIENCE	Couples from automated dial-in entertainment center may be theatergoers (8)
AUDIO	Douai Version is sound (5)
AUDIO	Italian god after precious metal sound (5)
AUDIT	Inspect gold dust without refining initially (5)
AUDIT	Thoroughly go over Quattro before start of test-drive (5)
AUDITOR	A Tudor I remodeled for a listener (7)
AUDITOR	At the core, Saudi torturer is an IRS agent (7)
AUGMENTER	Adder is a borer devouring men and it's tail (9)
AUNT	Ridicule topless family member (4)
AUNTS	Workers surrounding guy in the middle may be relatives (5)
AUSTERE	Plain gold and sterling - the ultimate in elegance (7)
AUTHENTIC	Real gold:  The new game piece (9)
AUTOMATICPILOTS	Calamitous to tip distracted, unthinking drivers (9,6)
AUTOMATON	Android's gold love-apple close to Krypton (9)
AUTOMATON	Machine made from gold, vegetable, and nickel (9)
AUTOPSY	Critical analysis of letters from Beau to psychiatrist (7)
AUTOPSY	Examining remains of vehicle spy bombed (7)
AUTOSOME	Genetic material could be gold to some (8)
AUTUMNAL	Plan mutual investment return around October (8)
AVAIL	At hand no competent help (5)
AVAIL	Be of use to a head covering, we hear (5)
AVAILED	Took advantage of Delia, heading up to northern Virginia (7)
AVAILED	Virginia raised trouble and Ed profited (7)
AVALANCHE	Coming down from the mountain?  After repelling lava, maybe he can (9)
AVENGERS	Those getting even disperse nerve gas (8)
AVERAGE	Normal time to hug Ms. Miles (7)
AVERAGE	Positively declare how old one is; it's normal (7)
AVERMENT	Avoid including men in allegation (8)
AVERRED	Swore a verb was incorrect (7)
AVERSE	Reluctant, serve a stew (6)
AVESERGEANTS	Hail "Ace Ventura", Parts 1 and 2; Fabric bugs officers
AVIDLY	Virginia returns lazily, then eagerly (6)
AVOIDS	Scuttles around - purposefully so.  Diva is spoiled. (6)
AVON	Star's reflection seen in English river (4)
AVOWING	Frankly admitting, after the start, raving about ring (7)
AWAIT	Long for a mass of reporters (5)
AWAKENS	Rouses a snake w/rattles (7)
AWAKENSCALAR	Saw a Kentucky discovery raise consciousness (6); The sound of one climbing -- it's without direction (6)
AWAY	Far off, detouring around awesome skyway (4)
AWEIGH	Anchor position broadcast uninterruptedly (6)
AWL	It comes to a point everyone heard (3)
AWNS	Tips of grass from trimmed lawns (4)
AWOL	Missing work in an online service (4)
AWRY	Screwed up a bar order, say (4)
AXIOM	Given fax, I omitted gist (5)
AXIOM	Me in Paris, topsy-turvy after a kiss is given (5)
AYEAYESIR	Two affirmations in broadcast SALT agreement? (3,3,3)
AYGJXX	Miserable bum found in ouskirts of Derby (6)
BAA	A couple of bad-boys with a sheepish line? (3)
BABOONS	Big apes with degree benefits (7)
BABYSITTER	Prepare tasty bribe for child's caretaker (10)
BACK	Section of network cable left behind (4)
BACKBURNER	Wild buck in barn ...er, you can ignore it for a while (4,6)
BACKSTOP	It might be seen at a ballpark:  batting average 100, then 1000 (tops) - Wild! (8)
BACON	English philosopher cured pig (5)
BACON	English philosopher in rasher lot? (5)
BADGERED	Red goes after sheriff's emblem, annoyed (8)
BAGATELLE	Ms Starr has a gun, a mere toy (9)
BAGGAGE	Tramp's travel gear (7)
BAHPIZBRAS	Head hit by Michael Jackson outside opening of arena; Indian tribe's letters from shop intercepted; Unfinished metal lingerie
BAILERS	Those emptying the boat of water start to belittle those who are seasick? (7)
BAKERSDOZEN	Thirteen broken adzes repaired (6,5)
BALACLAVA	Cabal resolved hot issue of headgear (9)
BALED	Bound to hear what they did about the leak? (5)
BALI	Island that participates in globalization (4)
BALI	One dog from the south island (4)
BALLADEER	Later on, does dance with a lay-person?  (9)
BALLERINA	Degree consumes all-Ireland dancing girl (9)
BALLETDANCER	Bookkeeper having let-down? She's on her toes? (6,6)
BALLOON	Windbag has nothing on after dance? (7)
BALSA	Fir tree cut down for kind of wood (5)
BAMBI	Left computer company with a second rate Disney movie (5)
BANDANAS	Bananas carried around finally in hankies (8)
BANFELT	Prohibit use of milliner's material for automobile part (3,4)
BANGLE	Blue fish bracelet (6)
BANKING	Financial ink flowing in boom (7)
BANKROLL	Put money into Rev. Spooner's smelly bowl (8)
BANNER	He prohibits sign at front of parade (6)
BANQUETS	Stop, question Utes traveling to ritual feasts (8)
BANTU	Do these central Africans prefer cuban turbans? (5)
BAPTISMAL	Ceremonial lamb turned about a revolving spit (9)
BARBADOS	Sarcastic remarks describing disturbance in West Indian island (8)
BARCODES	Computer labels fish in strips (3,5)
BARD	Flipped over dismal poet (4)
BARED	Exposed Debra daringly (5)
BARER	Prohibit couple from erotically wearing less clothing (5)
BAREST	Dumb are stripped:  revealing, most revealing (6)
BARGAIN	Take back a hot deal (7)
BARGAINBASEMENT	Acquire infielders subjugated by black art, cheap (7-8)
BARGAINBASEMENT	Cheap place to drink and pick up ballplayers by night's end (7,8)
BARKEEPER	Nude redhead receiving backward glance is one serving drinks (9)
BARN	Little kid cleans out one stall (4)
BARRED	Locked out a couple of Republicans caught in bed (6)
BARRETTE	Butler, it's said, is after Mrs. Bush's hairclip (8)
BARRISTER	Lots of risk in deal with lawyer (9)
BARTENDER	Publican is drunk with talent (9)
BARTSIMPSON	Black arts & demons concerned with Homer's issue? (4,7)
BASELINE	Standard Balinese shifts (8)
BASENJI	A barkless dog as shown in "Benji" (7)
BASEST	Best going around as worst (6)
BASEST	Most low, as in defeat (6)
BASHFUL	Dwarf's renovated half-bus (7)
BASILISK	Primarily being a serpent in legend, its stare kills! (8)
BASSET	Dog-fish consumed in the Ozarks? (6)
BASSINET	I clear ground in front for cradle (8)
BASTION	Unbelievable boast in part of the castle (7)
BAT	Animal hiding in abattoir (3)
BATHTUB	An animal which flies high but comes back for a place to wash (7)
BATTLECRUISERS	Heavily armed fleet of Rev. Spooner's calf ropers? (6,8)
BATTLED	Fought and bled after receiving a little attention (7)
BAUXITE	>From play-by-play: Place where pitchers err and rock with various impurities (7)
BAWL	Announce Cinderella's fateful destination and cry for a spell (4)
BAYONETED	Stabbed, bark "A Kennedy" (9)
BAZAAR	Strange sounding, but fair (6)
BBLOTEC	Bob ate chili messily in library (11)
BEACON	Be a fool and signal fire (6)
BEADYONTAP	For the audience, C.'s neighbors make up round; Ontario College Prep Course is now available (2 words)
BEAN	Ben carries a small seed (4)
BEANCHIPS	Live with stewed spinach ingredients (4,5)
BEAR	Produce something unpleasant (4)
BEARSKINS	Tolerates relative's big game trophies (9)
BEAST	Pound shelters small animal (5)
BEASTS	Brutes like getting in bets (6)
BEATNIK	Old hippie to attend reunion of kin (7)
BEAVER	Vet almost eaten by wild animal, a big rodent (6)
BECHAMEL	Live near dromedary carrying a bit of HP Sauce (8)
BEDCHAMBER	Charm ebbed disturbingly in boudoir (10)
BEDCHECK	Grace takes care of church dormitory inspection (3,5)
BEDROLLS	Be comical. Start to sleep in sleeping bags (8)
BEDROOM	Boudoir broom closets - a cause for Bob Dole (7)
BEDROOM	Ed goes in cleaner place for Sleepy (7)
BEDTIME	Be the first to dance with Mr. Rice and the lead in "Evita" at the moment of retirement (7)
BEERNUT	Run amok while covered in red snack food (7)
BEES	Stingers and beers with no trace of remorse (4)
BEETHOVEN	Composed archduke accepting hot beet placed on top of oven (9)
BEETHOVEN	Composer found in a red hot oven? (9)
BEETLE	Lee bet Dotty for a little car (6)
BEGGAR	Poor guy's breakfast item in tavern (6)
BEGGARS	Makes poor reproductive material in watering holes (7)
BEGINNING	Gin and tonic's third gulped by person arising (9)
BEGORRA	Mild oath from Yogi about work (7)
BEGOTTEN	Germanic deity has been around -- and bred (8)
BEHALF	He's wrapped in fat back for support (6)
BEHAVE	Straighten up from baby's first messy heave (6)
BEHEAD	In bed, he lies next to a guillotine (6)
BEHOLDER	Seer stores beer in hold? Just the opposite! (8)
BEING	Person believing - except for Satanic evil (5)
BELFAST	Sing out, holding scale notes in European city (7)
BELONG	Take a while to fit in (7)
BENEDICTARNOLDS	Traitorous spies doctored Bond's credential (8,7)
BENTS	Propensities for placing bets about leader of nags (5)
BERATES	Jumps all over bees swarming rat (7)
BERMUDA	Tropical island's surprisingly bad rum contains hint of echinacea (7)
BESIDES	Bees encircling trash--back, over, and above (7)
BESIDES	Mr Vicious is accepted by producers of "Honey" as extra (7)
BESIEGED	Surrounded and hurt, I'd beg, see (8)
BESOTTED	Dote best after tumbling head over heels (8)
BEST	Triumph over heartless beast (4)
BESTRIDE	Sit upon top-of-the-line bicycle? (8)
BESTRIDES	Takes big steps while walking over to popular theme park attractions  (9)
BETELGEUSE	Star's beet gel use eccentric (10)
BETTER	Recovered from two scant teaspoons in brew (6)
BEWILDER	Beer, sandwiches, fantastic puzzle (8)
BHJENZ	Cause one to fall in love with complete awareness (6)
BIENNIAL	Every other year in Paris: good; in L.A.: not so good (8)
BIGAMY	Having two wives is doubly gross? (6)
BIGOT	One intolerant of extensive overtime (5)
BIGOTRIES	Big wheel examines prejudices (9)
BILATERAL	Reciprocal statement admitting a bit of trickery with baseball stat (9)
BILL	Check in the mouth of a turtle (4)
BILLED	Bad in bed, as advertised (6)
BILLFOLD	William, it's said, had a Colt in notecase (8)
BINGE	Begin crazy spree (5)
BIODIVERSITY	A wide variety of flora and fauna, from creeping ivy to birdies (12)
BIPEDAL	Walking upright, P. Abide turned left (7)
BIPLANE	Nepali flies from central Tibet in small aircraft (7)
BIPLANES	Marcel Marceau character strips old aircraft (8)
BIRTHS	Hearing about loading docks and deliveries (6)
BISECTS	Crosses through vocal factions (7)
BISTROS	Type sister picked up in taverns (7)
BIZARRE	Ridiculous-looking brazier worked (7)
BLACKEST	Deficiency in cream is most awful (8)
BLADE	Sharp part of knife upset bald eagle at first (5)
BLARE	Noisily proclaim British politician to the audience (5)
BLAST	Black gets closing party (5)
